region;subregion;country_territory;count;year;count_per_1000;match_definition
Europe;Southern Europe;Albania;;2003;;1
Europe;Southern Europe;Albania;;2004;;1
Europe;Southern Europe;Albania;;2005;;1
Europe;Southern Europe;Albania;;2006;;1
Europe;Southern Europe;Albania;101;2007;3,2;1
Europe;Southern Europe;Albania;76;2008;2,4;1
Americas;South America;Argentina;;2003;;1
Americas;South America;Argentina;;2004;;1
Americas;South America;Argentina;;2005;;1
Americas;South America;Argentina;;2006;;1
Americas;South America;Argentina;10557;2007;26,7;1
Americas;South America;Argentina;;2008;;1
Asia;Western Asia;Armenia;;2003;;1
Asia;Western Asia;Armenia;;2004;;1
Asia;Western Asia;Armenia;;2005;;1
Asia;Western Asia;Armenia;;2006;;1
Asia;Western Asia;Armenia;33;2007;1,1;1
Asia;Western Asia;Armenia;63;2008;2;1
Asia;Western Asia;Azerbaijan;;2003;;1
Asia;Western Asia;Azerbaijan;;2004;;1
Asia;Western Asia;Azerbaijan;;2005;;1
Asia;Western Asia;Azerbaijan;;2006;;1
Asia;Western Asia;Azerbaijan;214;2007;2,5;1
Asia;Western Asia;Azerbaijan;223;2008;2,6;1
Asia;Western Asia;Bahrain;;2003;;1
Asia;Western Asia;Bahrain;;2004;;1
Asia;Western Asia;Bahrain;;2005;;1
Asia;Western Asia;Bahrain;;2006;;1
Asia;Western Asia;Bahrain;145;2007;19,1;1
Asia;Western Asia;Bahrain;175;2008;22,6;1
Europe;Eastern Europe;Belarus;;2003;;1
Europe;Eastern Europe;Belarus;;2004;;1
Europe;Eastern Europe;Belarus;;2005;;1
Europe;Eastern Europe;Belarus;;2006;;1
Europe;Eastern Europe;Belarus;797;2007;8,2;1
Europe;Eastern Europe;Belarus;613;2008;6,3;1
Europe;Western Europe;Belgium;5565;2003;54;1
Europe;Western Europe;Belgium;5779;2004;55,8;1
Europe;Western Europe;Belgium;5867;2005;56,3;1
Europe;Western Europe;Belgium;6210;2006;59,3;1
Europe;Western Europe;Belgium;6134;2007;58,2;1
Europe;Western Europe;Belgium;5613;2008;53;1
Europe;Eastern Europe;Bulgaria;1287;2003;16,4;1
Europe;Eastern Europe;Bulgaria;1175;2004;15,1;1
Europe;Eastern Europe;Bulgaria;1037;2005;13,4;1
Europe;Eastern Europe;Bulgaria;911;2006;11,8;1
Europe;Eastern Europe;Bulgaria;764;2007;10;1
Europe;Eastern Europe;Bulgaria;749;2008;9,9;1
Americas;North America;Canada;26128;2003;82,6;0
Americas;North America;Canada;25698;2004;80,4;0
Americas;North America;Canada;26348;2005;81,6;0
Americas;North America;Canada;25242;2006;77,4;0
Americas;North America;Canada;24512;2007;74,4;0
Americas;North America;Canada;25058;2008;75,3;0
Americas;South America;Chile;6111;2003;38,3;1
Americas;South America;Chile;7736;2004;48;1
Americas;South America;Chile;7939;2005;48,7;1
Americas;South America;Chile;12073;2006;73,3;1
Americas;South America;Chile;;2007;;1
Americas;South America;Chile;;2008;;1
Africa;Western Africa;Cote d'Ivoire;;2003;;
Africa;Western Africa;Cote d'Ivoire;;2004;;
Africa;Western Africa;Cote d'Ivoire;;2005;;
Africa;Western Africa;Cote d'Ivoire;;2006;;
Africa;Western Africa;Cote d'Ivoire;858;2007;4,3;
Africa;Western Africa;Cote d'Ivoire;716;2008;3,5;
Europe;Southern Europe;Croatia;549;2003;12,3;1
Europe;Southern Europe;Croatia;485;2004;10,9;1
Europe;Southern Europe;Croatia;622;2005;14;1
Europe;Southern Europe;Croatia;610;2006;13,8;1
Europe;Southern Europe;Croatia;681;2007;15,4;1
Europe;Southern Europe;Croatia;761;2008;17,2;1
Europe;Eastern Europe;Czech Republic;1898;2003;18,6;1
Europe;Eastern Europe;Czech Republic;1909;2004;18,8;1
Europe;Eastern Europe;Czech Republic;1849;2005;18,1;1
Europe;Eastern Europe;Czech Republic;1615;2006;15,8;1
Europe;Eastern Europe;Czech Republic;1689;2007;16,4;1
Europe;Eastern Europe;Czech Republic;1680;2008;16,3;1
Africa;Eastern Africa;Egypt;160;2003;0,2;
Africa;Eastern Africa;Egypt;145;2004;0,2;
Africa;Eastern Africa;Egypt;179;2005;0,2;
Africa;Eastern Africa;Egypt;202;2006;0,3;
Africa;Eastern Africa;Egypt;232;2007;0,3;
Africa;Eastern Africa;Egypt;281;2008;0,3;
Europe;Northern Europe;Estonia;215;2003;15,9;1
Europe;Northern Europe;Estonia;526;2004;39;1
Europe;Northern Europe;Estonia;402;2005;29,8;1
Europe;Northern Europe;Estonia;354;2006;26,3;1
Europe;Northern Europe;Estonia;244;2007;18,2;1
Europe;Northern Europe;Estonia;368;2008;27,4;1
Europe;Northern Europe;Finland;1581;2003;30,3;1
Europe;Northern Europe;Finland;1765;2004;33,8;1
Europe;Northern Europe;Finland;1919;2005;36,6;1
Europe;Northern Europe;Finland;2728;2006;51,8;1
Europe;Northern Europe;Finland;2326;2007;44;1
Europe;Northern Europe;Finland;2906;2008;54,8;1
Europe;Western Europe;France;25802;2003;42,8;1
Europe;Western Europe;France;26238;2004;43,3;1
Europe;Western Europe;France;23868;2005;39,1;1
Europe;Western Europe;France;22864;2006;37,3;1
Europe;Western Europe;France;23247;2007;37,7;1
Europe;Western Europe;France;24031;2008;38,7;1
Europe;Western Europe;Germany;54632;2003;66,4;0
Europe;Western Europe;Germany;57306;2004;69,6;0
Europe;Western Europe;Germany;55203;2005;67;0
Europe;Western Europe;Germany;52231;2006;63,4;0
Europe;Western Europe;Germany;56281;2007;68,3;0
Europe;Western Europe;Germany;56784;2008;69;0
Europe;Southern Europe;Greece;899;2003;8,2;1
Europe;Southern Europe;Greece;874;2004;7,9;1
Europe;Southern Europe;Greece;917;2005;8,3;1
Europe;Southern Europe;Greece;464;2006;4,2;1
Europe;Southern Europe;Greece;784;2007;7,1;1
Europe;Southern Europe;Greece;;2008;;1
Africa;Western Africa;Guinea;;2003;;1
Africa;Western Africa;Guinea;;2004;;1
Africa;Western Africa;Guinea;;2005;;1
Africa;Western Africa;Guinea;;2006;;1
Africa;Western Africa;Guinea;33;2007;0,3;1
Africa;Western Africa;Guinea;;2008;;1
Europe;Eastern Europe;Hungary;560;2003;5,5;1
Europe;Eastern Europe;Hungary;570;2004;5,6;1
Europe;Eastern Europe;Hungary;649;2005;6,4;1
Europe;Eastern Europe;Hungary;485;2006;4,8;1
Europe;Eastern Europe;Hungary;473;2007;4,7;1
Europe;Eastern Europe;Hungary;500;2008;5;1
Europe;Northern Europe;Iceland;;2003;;1
Europe;Northern Europe;Iceland;;2004;;1
Europe;Northern Europe;Iceland;288;2005;97,4;1
Europe;Northern Europe;Iceland;281;2006;93,2;1
Europe;Northern Europe;Iceland;349;2007;113,3;1
Europe;Northern Europe;Iceland;368;2008;116,7;1
Asia;Western Asia;Israel;4267;2003;66,1;
Asia;Western Asia;Israel;4885;2004;74,3;
Asia;Western Asia;Israel;4598;2005;68,7;
Asia;Western Asia;Israel;;2006;;
Asia;Western Asia;Israel;4630;2007;66,8;
Asia;Western Asia;Israel;4497;2008;63,8;
Asia;Eastern Asia;Japan;12501;2003;9,8;1
Asia;Eastern Asia;Japan;11360;2004;8,9;1
Asia;Eastern Asia;Japan;10827;2005;8,5;1
Asia;Eastern Asia;Japan;10274;2006;8,1;1
Asia;Eastern Asia;Japan;9430;2007;7,4;1
Asia;Eastern Asia;Japan;8693;2008;6,8;1
Africa;Eastern Africa;Kenya;;2003;;1
Africa;Eastern Africa;Kenya;2880;2004;8,3;1
Africa;Eastern Africa;Kenya;2590;2005;7,2;1
Africa;Eastern Africa;Kenya;2965;2006;8,1;1
Africa;Eastern Africa;Kenya;3051;2007;8,1;1
Africa;Eastern Africa;Kenya;2719;2008;7;1
Asia;Central Asia;Kyrgyzstan;15;2003;0,3;
Asia;Central Asia;Kyrgyzstan;17;2004;0,3;
Asia;Central Asia;Kyrgyzstan;16;2005;0,3;
Asia;Central Asia;Kyrgyzstan;18;2006;0,3;
Asia;Central Asia;Kyrgyzstan;14;2007;0,3;
Asia;Central Asia;Kyrgyzstan;13;2008;0,2;
Europe;Northern Europe;Latvia;305;2003;13,1;1
Europe;Northern Europe;Latvia;648;2004;28,1;1
Europe;Northern Europe;Latvia;721;2005;31,5;1
Europe;Northern Europe;Latvia;328;2006;14,4;1
Europe;Northern Europe;Latvia;460;2007;20,3;1
Europe;Northern Europe;Latvia;416;2008;18,4;1
Europe;Western Europe;Liechtenstein;17;2003;50;1
Europe;Western Europe;Liechtenstein;7;2004;20,4;1
Europe;Western Europe;Liechtenstein;18;2005;51,8;1
Europe;Western Europe;Liechtenstein;12;2006;34,2;1
Europe;Western Europe;Liechtenstein;18;2007;50,9;1
Europe;Western Europe;Liechtenstein;11;2008;30,9;1
Europe;Northern Europe;Lithuania;415;2003;12;1
Europe;Northern Europe;Lithuania;444;2004;12,9;1
Europe;Northern Europe;Lithuania;558;2005;16,3;1
Europe;Northern Europe;Lithuania;521;2006;15,4;1
Europe;Northern Europe;Lithuania;385;2007;11,5;1
Europe;Northern Europe;Lithuania;368;2008;11,1;1
Europe;Western Europe;Luxembourg;;2003;;
Europe;Western Europe;Luxembourg;;2004;;
Europe;Western Europe;Luxembourg;;2005;;
Europe;Western Europe;Luxembourg;205;2006;43,7;
Europe;Western Europe;Luxembourg;592;2007;124,6;
Europe;Western Europe;Luxembourg;353;2008;73,4;
Asia;Southern Asia;Maldives;;2003;;1
Asia;Southern Asia;Maldives;;2004;;1
Asia;Southern Asia;Maldives;;2005;;1
Asia;Southern Asia;Maldives;;2006;;1
Asia;Southern Asia;Maldives;342;2007;113,7;1
Asia;Southern Asia;Maldives;465;2008;152,4;1
Europe;Southern Europe;Malta;;2003;;
Europe;Southern Europe;Malta;;2004;;
Europe;Southern Europe;Malta;;2005;;
Europe;Southern Europe;Malta;;2006;;
Europe;Southern Europe;Malta;70;2007;17,2;
Europe;Southern Europe;Malta;80;2008;19,6;
Africa;Eastern Africa;Mauritius;298;2003;24,2;1
Africa;Eastern Africa;Mauritius;297;2004;23,9;1
Africa;Eastern Africa;Mauritius;314;2005;25,1;1
Africa;Eastern Africa;Mauritius;420;2006;33,3;1
Africa;Eastern Africa;Mauritius;383;2007;30,1;1
Africa;Eastern Africa;Mauritius;409;2008;32;1
Asia;Eastern Asia;Mongolia;12;2003;0,5;1
Asia;Eastern Asia;Mongolia;8;2004;0,3;1
Asia;Eastern Asia;Mongolia;18;2005;0,7;1
Asia;Eastern Asia;Mongolia;9;2006;0,3;1
Asia;Eastern Asia;Mongolia;11;2007;0,4;1
Asia;Eastern Asia;Mongolia;19;2008;0,7;1
Europe;Southern Europe;Montenegro;32;2003;5;1
Europe;Southern Europe;Montenegro;42;2004;6,7;1
Europe;Southern Europe;Montenegro;35;2005;5,6;1
Europe;Southern Europe;Montenegro;43;2006;6,9;1
Europe;Southern Europe;Montenegro;30;2007;4,8;1
Europe;Southern Europe;Montenegro;35;2008;5,6;1
Africa;Eastern Africa;Morocco;827;2003;2,8;1
Africa;Eastern Africa;Morocco;594;2004;2;1
Africa;Eastern Africa;Morocco;929;2005;3;1
Africa;Eastern Africa;Morocco;2243;2006;7,3;1
Africa;Eastern Africa;Morocco;2531;2007;8,1;1
Africa;Eastern Africa;Morocco;2559;2008;8,1;1
Oceania;Australia and New Zealand;New Zealand;;2003;;1
Oceania;Australia and New Zealand;New Zealand;;2004;;1
Oceania;Australia and New Zealand;New Zealand;;2005;;1
Oceania;Australia and New Zealand;New Zealand;;2006;;1
Oceania;Australia and New Zealand;New Zealand;2767;2007;66;1
Oceania;Australia and New Zealand;New Zealand;2685;2008;63,5;1
Europe;Northern Europe;Norway;1996;2003;43,7;0
Europe;Northern Europe;Norway;1952;2004;42,4;0
Europe;Northern Europe;Norway;1960;2005;42,3;0
Europe;Northern Europe;Norway;2176;2006;46,5;0
Europe;Northern Europe;Norway;2235;2007;47,3;0
Europe;Northern Europe;Norway;2296;2008;48,2;0
Asia;Western Asia;Oman;;2003;;
Asia;Western Asia;Oman;;2004;;
Asia;Western Asia;Oman;;2005;;
Asia;Western Asia;Oman;;2006;;
Asia;Western Asia;Oman;132;2007;4,8;
Asia;Western Asia;Oman;183;2008;6,6;
Europe;Eastern Europe;Poland;;2003;;1
Europe;Eastern Europe;Poland;;2004;;1
Europe;Eastern Europe;Poland;;2005;;1
Europe;Eastern Europe;Poland;;2006;;1
Europe;Eastern Europe;Poland;3709;2007;9,7;1
Europe;Eastern Europe;Poland;3294;2008;8,6;1
Europe;Southern Europe;Portugal;1966;2003;18,9;1
Europe;Southern Europe;Portugal;1701;2004;16,2;1
Europe;Southern Europe;Portugal;1620;2005;15,4;1
Europe;Southern Europe;Portugal;1730;2006;16,3;1
Europe;Southern Europe;Portugal;1811;2007;17;1
Europe;Southern Europe;Portugal;2258;2008;21,1;1
Asia;Eastern Asia;Republic of Korea;6531;2003;13,8;1
Asia;Eastern Asia;Republic of Korea;6950;2004;14,7;1
Asia;Eastern Asia;Republic of Korea;7316;2005;15,4;1
Asia;Eastern Asia;Republic of Korea;8755;2006;18,3;1
Asia;Eastern Asia;Republic of Korea;8726;2007;18,2;1
Asia;Eastern Asia;Republic of Korea;9883;2008;20,5;1
Europe;Eastern Europe;Republic of Moldova;;2003;;0
Europe;Eastern Europe;Republic of Moldova;;2004;;0
Europe;Eastern Europe;Republic of Moldova;;2005;;0
Europe;Eastern Europe;Republic of Moldova;;2006;;0
Europe;Eastern Europe;Republic of Moldova;342;2007;9,3;0
Europe;Eastern Europe;Republic of Moldova;381;2008;10,5;0
Europe;Eastern Europe;Romania;;2003;;1
Europe;Eastern Europe;Romania;;2004;;1
Europe;Eastern Europe;Romania;;2005;;1
Europe;Eastern Europe;Romania;;2006;;1
Europe;Eastern Europe;Romania;1565;2007;7,3;1
Europe;Eastern Europe;Romania;1566;2008;7,3;1
Europe;Eastern Europe;Russian Federation;14299;2003;9,9;1
Europe;Eastern Europe;Russian Federation;16745;2004;11,6;1
Europe;Eastern Europe;Russian Federation;18459;2005;12,9;1
Europe;Eastern Europe;Russian Federation;20829;2006;14,6;1
Europe;Eastern Europe;Russian Federation;17940;2007;12,6;1
Europe;Eastern Europe;Russian Federation;17217;2008;12,2;1
Africa;Western Africa;Sierra Leone;;2003;;
Africa;Western Africa;Sierra Leone;;2004;;
Africa;Western Africa;Sierra Leone;;2005;;
Africa;Western Africa;Sierra Leone;;2006;;
Africa;Western Africa;Sierra Leone;695;2007;12,8;
Africa;Western Africa;Sierra Leone;623;2008;11,2;
Europe;Southern Europe;Slovenia;145;2003;7,3;1
Europe;Southern Europe;Slovenia;151;2004;7,6;1
Europe;Southern Europe;Slovenia;123;2005;6,1;1
Europe;Southern Europe;Slovenia;113;2006;5,6;1
Europe;Southern Europe;Slovenia;160;2007;8;1
Europe;Southern Europe;Slovenia;117;2008;5,8;1
Oceania;Melanesia;Solomon Islands;;2003;;1
Oceania;Melanesia;Solomon Islands;319;2004;69,1;1
Oceania;Melanesia;Solomon Islands;204;2005;43,1;1
Oceania;Melanesia;Solomon Islands;231;2006;47,5;1
Oceania;Melanesia;Solomon Islands;139;2007;27,9;1
Oceania;Melanesia;Solomon Islands;122;2008;23,9;1
Europe;Southern Europe;Spain;;2003;;1
Europe;Southern Europe;Spain;;2004;;1
Europe;Southern Europe;Spain;;2005;;1
Europe;Southern Europe;Spain;;2006;;1
Europe;Southern Europe;Spain;10348;2007;23,5;1
Europe;Southern Europe;Spain;11558;2008;26;1
Europe;Northern Europe;Sweden;10142;2003;113,1;1
Europe;Northern Europe;Sweden;10419;2004;115,5;1
Europe;Northern Europe;Sweden;11711;2005;129,2;1
Europe;Northern Europe;Sweden;12147;2006;133,3;1
Europe;Northern Europe;Sweden;12563;2007;137,2;1
Europe;Northern Europe;Sweden;14342;2008;155,8;1
Asia;Western Asia;Syrian Arab Republic;;2003;;1
Asia;Western Asia;Syrian Arab Republic;;2004;;1
Asia;Western Asia;Syrian Arab Republic;;2005;;1
Asia;Western Asia;Syrian Arab Republic;;2006;;1
Asia;Western Asia;Syrian Arab Republic;70;2007;0,3;1
Asia;Western Asia;Syrian Arab Republic;85;2008;0,4;1
Asia;Western Asia;Turkey;2858;2003;4,1;1
Asia;Western Asia;Turkey;2893;2004;4,1;1
Asia;Western Asia;Turkey;3020;2005;4,2;1
Asia;Western Asia;Turkey;3300;2006;4,6;1
Asia;Western Asia;Turkey;2056;2007;2,8;1
Asia;Western Asia;Turkey;1850;2008;2,5;1
Africa;Eastern Africa;Uganda;;2003;;
Africa;Eastern Africa;Uganda;;2004;;
Africa;Eastern Africa;Uganda;;2005;;
Africa;Eastern Africa;Uganda;;2006;;
Africa;Eastern Africa;Uganda;18844;2007;61,5;
Africa;Eastern Africa;Uganda;;2008;;
Europe;Eastern Europe;Ukraine;2180;2003;4,6;1
Europe;Eastern Europe;Ukraine;1988;2004;4,2;1
Europe;Eastern Europe;Ukraine;1929;2005;4,1;1
Europe;Eastern Europe;Ukraine;2114;2006;4,5;1
Europe;Eastern Europe;Ukraine;1898;2007;4,1;1
Europe;Eastern Europe;Ukraine;1995;2008;4,3;1
Europe;Northern Europe;United Kingdom (England and Wales);48732;2003;92,3;1
Europe;Northern Europe;United Kingdom (England and Wales);47542;2004;90;1
Europe;Northern Europe;United Kingdom (England and Wales);47163;2005;88,9;1
Europe;Northern Europe;United Kingdom (England and Wales);43738;2006;81,4;1
Europe;Northern Europe;United Kingdom (England and Wales);41437;2007;76,6;1
Europe;Northern Europe;United Kingdom (England and Wales);40731;2008;74,8;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1461;2003;85,8;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1485;2004;86,8;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1416;2005;82,1;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1509;2006;86,6;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1460;2007;83;1
Europe;Northern Europe;United Kingdom (Northern Ireland);1592;2008;89,7;1
