region;subregion;country_territory;count;year;count_per_1000
Africa;Eastern Africa;Kenya;2.621;2009;6,6
Africa;Eastern Africa;Mauritius;256;2009;19,8
Africa;Eastern Africa;Uganda;7.360;2009;22,7
Africa;Middle Africa;Cameroon;;2009;
Africa;Northern Africa;Algeria;;2009;
Africa;Northern Africa;Egypt;88;2009;0,1
Africa;Northern Africa;Morocco;1.521;2009;4,8
Africa;Southern Africa;Botswana;487;2009;24,6
Africa;Western Africa;Guinea;;2009;
Africa;Western Africa;Sierra Leone;;2009;
Americas;Caribbean;Bahamas;273;2009;80,7
Americas;Caribbean;Barbados;28;2009;10,3
Americas;Caribbean;Grenada;59;2009;56,7
Americas;Caribbean;Jamaica;;2009;
Americas;Caribbean;Saint Kitts and Nevis;23;2009;44,4
Americas;Caribbean;Saint Vincent and the Grenadines;62;2009;56,7
Americas;Caribbean;Trinidad and Tobago;278;2009;20,8
Americas;Central America;Belize;94;2009;30,8
Americas;Central America;El Salvador;1.454;2009;23,6
Americas;Central America;Guatemala;247;2009;1,8
Americas;Central America;Mexico;2.555;2009;2,3
Americas;Central America;Nicaragua;;2009;
Americas;Central America;Panama;21;2009;0,6
Americas;South America;Bolivia (Plurinational State of);1.429;2009;14,6
Americas;South America;Chile;8.792;2009;51,9
Americas;South America;Colombia;5.378;2009;11,8
Americas;South America;Guyana;10;2009;1,3
Americas;South America;Peru;2.109;2009;7,3
Americas;North America;Canada;2.693;2009;8,0
Asia;Central Asia;Kyrgyzstan;16;2009;0,3
Asia;Eastern Asia;Hong Kong Special Administrative Region of China;752;2009;10,8
Asia;Eastern Asia;Japan;4.111;2009;3,2
Asia;Eastern Asia;Mongolia;147;2009;5,4
Asia;South-Eastern Asia;Philippines;;2009;
Asia;Southern Asia;India;5.368;2009;0,4
Asia;Southern Asia;Maldives;;2009;
Asia;Western Asia;Armenia;52;2009;1,7
Asia;Western Asia;Azerbaijan;219;2009;2,4
Asia;Western Asia;Bahrain;;2009;
Asia;Western Asia;Georgia;71;2009;1,6
Asia;Western Asia;Israel;;2009;
Asia;Western Asia;Syrian Arab Republic;;2009;
Asia;Western Asia;Yemen;222;2009;1,0
Europe;Eastern Europe;Belarus;80;2009;0,8
Europe;Eastern Europe;Bulgaria;309;2009;4,1
Europe;Eastern Europe;Czech Republic;829;2009;7,9
Europe;Eastern Europe;Hungary;452;2009;4,5
Europe;Eastern Europe;Poland;1.657;2009;4,3
Europe;Eastern Europe;Republic of Moldova;109;2009;3,0
Europe;Eastern Europe;Romania;;2009;
Europe;Eastern Europe;Russian Federation;10.212;2009;7,1
Europe;Eastern Europe;Ukraine;331;2009;0,7
Europe;Northern Europe;Estonia;;2009;
Europe;Northern Europe;Finland;1.068;2009;20,0
Europe;Northern Europe;Iceland;;2009;
Europe;Northern Europe;Latvia;193;2009;8,5
Europe;Northern Europe;Lithuania;236;2009;7,1
Europe;Northern Europe;Norway;1.189;2009;24,6
Europe;Northern Europe;Sweden;6.575;2009;70,6
Europe;Northern Europe;United Kingdom (England and Wales);17.452;2009;31,8
Europe;Northern Europe;United Kingdom (Northern Ireland);988;2009;55,2
