"region";"subregion";"country_territory";"count";"year";"count_per_1000";"match_definition"
"Europe";"Southern Europe";"Albania";-1;2003;"";1
"Europe";"Southern Europe";"Albania";-1;2004;"";1
"Europe";"Southern Europe";"Albania";-1;2005;"";1
"Europe";"Southern Europe";"Albania";-1;2006;"";1
"Europe";"Southern Europe";"Albania";101;2007;"3,2";1
"Europe";"Southern Europe";"Albania";76;2008;"2,4";1
"Americas";"South America";"Argentina";-1;2003;"";1
"Americas";"South America";"Argentina";-1;2004;"";1
"Americas";"South America";"Argentina";-1;2005;"";1
"Americas";"South America";"Argentina";-1;2006;"";1
"Americas";"South America";"Argentina";10557;2007;"26,7";1
"Americas";"South America";"Argentina";-1;2008;"";1
"Asia";"Western Asia";"Armenia";-1;2003;"";1
"Asia";"Western Asia";"Armenia";-1;2004;"";1
"Asia";"Western Asia";"Armenia";-1;2005;"";1
"Asia";"Western Asia";"Armenia";-1;2006;"";1
"Asia";"Western Asia";"Armenia";33;2007;"1,1";1
"Asia";"Western Asia";"Armenia";63;2008;"2";1
"Asia";"Western Asia";"Azerbaijan";-1;2003;"";1
"Asia";"Western Asia";"Azerbaijan";-1;2004;"";1
"Asia";"Western Asia";"Azerbaijan";-1;2005;"";1
"Asia";"Western Asia";"Azerbaijan";-1;2006;"";1
"Asia";"Western Asia";"Azerbaijan";214;2007;"2,5";1
"Asia";"Western Asia";"Azerbaijan";223;2008;"2,6";1
"Asia";"Western Asia";"Bahrain";-1;2003;"";1
"Asia";"Western Asia";"Bahrain";-1;2004;"";1
"Asia";"Western Asia";"Bahrain";-1;2005;"";1
"Asia";"Western Asia";"Bahrain";-1;2006;"";1
"Asia";"Western Asia";"Bahrain";145;2007;"19,1";1
"Asia";"Western Asia";"Bahrain";175;2008;"22,6";1
"Europe";"Eastern Europe";"Belarus";-1;2003;"";1
"Europe";"Eastern Europe";"Belarus";-1;2004;"";1
"Europe";"Eastern Europe";"Belarus";-1;2005;"";1
"Europe";"Eastern Europe";"Belarus";-1;2006;"";1
"Europe";"Eastern Europe";"Belarus";797;2007;"8,2";1
"Europe";"Eastern Europe";"Belarus";613;2008;"6,3";1
"Europe";"Western Europe";"Belgium";5565;2003;"54";1
"Europe";"Western Europe";"Belgium";5779;2004;"55,8";1
"Europe";"Western Europe";"Belgium";5867;2005;"56,3";1
"Europe";"Western Europe";"Belgium";6210;2006;"59,3";1
"Europe";"Western Europe";"Belgium";6134;2007;"58,2";1
"Europe";"Western Europe";"Belgium";5613;2008;"53";1
"Europe";"Eastern Europe";"Bulgaria";1287;2003;"16,4";1
"Europe";"Eastern Europe";"Bulgaria";1175;2004;"15,1";1
"Europe";"Eastern Europe";"Bulgaria";1037;2005;"13,4";1
"Europe";"Eastern Europe";"Bulgaria";911;2006;"11,8";1
"Europe";"Eastern Europe";"Bulgaria";764;2007;"10";1
"Europe";"Eastern Europe";"Bulgaria";749;2008;"9,9";1
"Americas";"North America";"Canada";26128;2003;"82,6";0
"Americas";"North America";"Canada";25698;2004;"80,4";0
"Americas";"North America";"Canada";26348;2005;"81,6";0
